id,Author,Year,Delete metric,Metric,Note,Note.two,Name,Label,Notation,Validation.obsolete,By.id.obsolete,By.Author.obsolete,Experiment.obsolete,Subjects.obsolete,Models.obsolete,Concept.obsolete,Statistics test used.obsolete,Result.obsolete,Category,Cluster.reason,Applicable to CMMN,Reason
32490,Daneva1996benc,1996,,\texttt{ACC},,,average connector cohesion,AverageConnectorCohesion,EPC,Sx,32490,Daneva1996benc,,,,,histograms,,Average,,No,Uses connectors
32490,Daneva1996benc,1996,,\texttt{AEC},,,average event cohesion,AverageEventCohesion,EPC,Sx,32490,Daneva1996benc,,,,,histograms,,Average,,No,Uses connectors
32490,Daneva1996benc,1996,,\texttt{AFC},,,average function cohesion,AverageFunctionCohesion,EPC,Sx,32490,Daneva1996benc,,,,,histograms,,Average,,No,Uses connectors
1529,Sobrinho1999comp,1999,,\texttt{EM},,,extended measure,ExtendedMeasure,VPML,N,1529,Sobrinho1999comp,,,,,Was-never-validated,,Average,,No,Graph based
1529,Sobrinho1999comp,1999,,\texttt{GREM},,,global ripple effect measure,GlobalRippleEffectMeasure,VPML,N,1529,Sobrinho1999comp,,,,,Was-never-validated,,Ratio,,No,Graph based
1529,Sobrinho1999comp,1999,,\texttt{MM},,,modularization measure,ModularizationMeasure,VPML,N,1529,Sobrinho1999comp,,,,,Was-never-validated,,Ratio,,No,Graph based
38469,Tjaden1999busi,1999,,\bar{\texttt{C}}_A ,,,average activity complexity,AverageActivityComplexity,Graph,N,38469,Tjaden1999busi,,,,,Was-never-validated,,Average,,No,Uses material flow
38469,Tjaden1999busi,1999,,\texttt{Flexibility},,,flexibility,Flexibility,Graph,N,38469,Tjaden1999busi,,,,,Was-never-validated,,Percentage,,No,Uses material flow
38469,Tjaden1999busi,1999,,\texttt{Integration},,,integration,Integration,Graph,N,38469,Tjaden1999busi,,,,,Was-never-validated,,Percentage,,No,Graph based
38469,Tjaden1999busi,1999,,\texttt{Simplicity},,,simplicity,Simplicity,Graph,N,38469,Tjaden1999busi,,,,,Was-never-validated,,Percentage,,No,Uses material flow
1470,Latva2001,2001,,\texttt{CNC}_K,,,coefficient of network complexity (Kaimann),CoefficientOfNetworkComplexityKaimann,Graph,Sx,1470,Latva2001,,,,,none,,Calculated,,No,Graph based
1470,Latva2001,2001,,\texttt{CNC}_P,,,coefficient of network complexity (Pascoe),CoefficientOfNetworkComplexityPascoe,Graph,Sx,1470,Latva2001,,,,,none,,Ratio,,No,Graph based
1470,Latva2001,2001,,\texttt{CI},,,complexity index,ComplexityIndex,Graph,Sx,1470,Latva2001,,,,,none,,Algorithm,,No,Graph based
1470,Latva2001,2001,,\texttt{S},,,cyclomatic number,CyclomaticNumber,Graph,Sx,1470,Latva2001,,,,,none,,Calculated,,No,Graph based
1470,Latva2001,2001,,\texttt{T},,,number of trees in a graph,NumberOfTreesInAGraph,Graph,Sx,1470,Latva2001,,,,,none,,Counter,,No,Graph based
1470,Latva2001,2001,,\texttt{RT},,,restrictiveness estimator,RestrictivenessEstimator,Graph,Sx,1470,Latva2001,,,,,none,,Calculated,,No,Graph based
1488,Reijers2003a,2003,Dx,\texttt{c}_a(t),,,activity cohesion,ActivityCohesion,Graph,THx,1488,Reijers2003a,,,,,Was-never-validated,,,,,
1488,Reijers2003a,2003,Dx,\mu(t),,,activity information cohesion,ActivityInformationCohesion,Graph,THx,1488,Reijers2003a,,,,,Was-never-validated,,,,,
1488,Reijers2003a,2003,Dx,\lambda(t),,,activity relation cohesion,ActivityRelationCohesion,Graph,THx,1488,Reijers2003a,,,,,Was-never-validated,,,,,
55413,Garcia2003inte,2003,,\texttt{CA},,,activity coupling,ActivityCoupling,SPEM,N,55413,Garcia2003inte,,,,,,,Ratio,,No,Graph based
55413,Garcia2003inte,2003,,\texttt{NA},,,number of activities,NumberOfActivities,SPEM,N,55413,Garcia2003inte,,,,,,,Counter,Task count,Yes,Count tasks
55413,Garcia2003inte,2003,,\texttt{NDRA},,,number of precedence dependences between activities,NumberOfPrecedenceDependencesBActivities,SPEM,N,55413,Garcia2003inte,,,,,,,Counter,,No,Graph based
55413,Garcia2003inte,2003,,\texttt{NPR},,,number of roles,NumberOfRoles,SPEM,N,55413,Garcia2003inte,,,,,,,Counter,,No,not explicit in \glCMMN models
55413,Garcia2003inte,2003,,\texttt{NSTP},,,number of steps (tasks),NumberOfSteps,SPEM,N,55413,Garcia2003inte,,,,,Was-never-validated,,Counter,,No,Concept not in \glCMMN
55413,Garcia2003inte,2003,,\texttt{NWP},,,number of work products,NumberOfWorkProducts,SPEM,N,55413,Garcia2003inte,,,,,,,Counter,,No,Concept not in \glCMMN
55413,Garcia2003inte,2003,,\texttt{RSTPA},,,ratio of steps and activities,RatioBetweenStepsAndActivities,SPEM,N,55413,Garcia2003inte,,,,,Was-never-validated,,Ratio,,No,Concept not in \glCMMN
55413,Garcia2003inte,2003,,\texttt{RPRA},,,ratio of process roles and activities,RatioOfProcessRolesAndActivities,SPEM,N,55413,Garcia2003inte,,,,,,,Ratio,,No,not explicit in \glCMMN models
55413,Garcia2003inte,2003,,\texttt{RWPA},,,ratio of work products and activities,RatioOfWorkProductsAndActivities,SPEM,N,55413,Garcia2003inte,,,,,,,Ratio,,No,not explicit in \glCMMN models
117,Garcia2004,2004,,\texttt{NDWP},,,number of dependences,NumberOfDependences,SPEM,H,117,Garcia2004,,,,,within-subject design. Spearman's correlation,,Counter,,No,Uses grapg arcs
117,Garcia2004,2004,,\texttt{NDWPIn},,,number of input dependences,NumberOfInputDependences,SPEM,H,117,Garcia2004,,,,,within-subject design. Spearman's correlation,,Counter,,No,Uses grapg arcs
117,Garcia2004,2004,,\texttt{NDWPOut},,,number of output dependences,NumberOfOutputDependences,SPEM,H,117,Garcia2004,,,,,within-subject design. Spearman's correlation,,Counter,,No,Uses grapg arcs
117,Garcia2004,2004,,\texttt{RDWPIn},,,ratio between input dependencies and number of dependencies,RatioBetweenInDependenciesXDependencies,SPEM,H,117,Garcia2004,,,,,within-subject design. Spearman's correlation,,Ratio,,No,Uses grapg arcs
117,Garcia2004,2004,,\texttt{RDWPOut},,,ratio between output dependencies and the number of dependencies,RatioBetweenOutDependenciesXDependencies,SPEM,H,117,Garcia2004,,,,,within-subject design. Spearman's correlation,,Ratio,,No,Uses grapg arcs
1586,Reijers2004,2004,,\texttt{c},,,process cohesion,ProcessCohesion,Graph,I,1586,Reijers2004,,,,,none,,Calculated,,No,Uses grapg arcs
1586,Reijers2004,2004,,\texttt{k},,,process coupling,ProcessCoupling,Graph,I,1586,Reijers2004,,,,,none,,Calculated,,No,Uses grapg arcs
1586,Reijers2004,2004,,\rho,,,process coupling/cohesion ratio,ProcessCouplingCohesionRatio,Graph,I,1586,Reijers2004,,,,,none,,Ratio,,No,Uses grapg arcs
1480,Cardoso2005cont,2005,Dup,\texttt{AC},,,activity complexity\cite{Garcia2003inte},ActivityComplexity,Graph,T,1480,Cardoso2005cont,,,,,Was-never-validated,,Counter,Task count,Yes,Count tasks
1480,Cardoso2005cont,2005,,\texttt{CFC},,,control-flow complexity,ControlflowComplexity,Graph,T,1480,Cardoso2005cont,,,,,none,,Calculated,,No,"Uses splits, joins"
1491,Cardoso2005,2005,D,\texttt{IC},,second set of ,interface complexity,InterfaceComplexity,BPEL,N,1491,Cardoso2005,,,,,Was-never-validated,,,,,
111,Cardoso2006b,2006,Dup,\texttt{CNC},,,coefficient of network complexity\cite{Latva2001},CoefficientOfNetworkComplexity,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Ratio,,No,Graph based
111,Cardoso2006b,2006,D,\texttt{IC},,,interface complexity\cite{Cardoso2005},InterfaceComplexityX,BPEL,N,111,Cardoso2006b,,,,,Was-never-validated,,,,,
111,Cardoso2006b,2006,Dup,\texttt{MCC},,,McCabe's cyclomatic number\cite{Latva2001},McCabeCyclomaticNumberCardoso,Graph,N,111,Cardoso2006b,,,,,none,,Calculated,,No,requires arcs
111,Cardoso2006b,2006,,\texttt{NOAC},,,number of activities and control flow elements,NumberOfActivitiesAndControl,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Counter,,No,requires well structured graphs
111,Cardoso2006b,2006,Dup,\texttt{NOA},,,number of activities\cite{Garcia2003inte},NumberOfActivitiesCardoso,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Counter,Task count,Yes,Count tasks
111,Cardoso2006b,2006,,\texttt{NOAJS},,,number of activities joins and splits,NumberOfActivitiesJoinsAndSplits,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Counter,,No,Concept does not exist in {\glCMMN}
111,Cardoso2006b,2006,,\texttt{D},,,process difficulty,ProcessDifficulty,Graph,N,111,Cardoso2006b,,,,,none,,Calculated,Halstead,Yes,Adapt Halstead's primitive measures
111,Cardoso2006b,2006,,\texttt{N},,,process length,ProcessLength,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Calculated,Halstead,Yes,Adapt Halstead's primitive measures
111,Cardoso2006b,2006,,\texttt{V},,,process volume,ProcessVolume,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Calculated,Halstead,Yes,Adapt Halstead's primitive measures
111,Cardoso2006b,2006,Dup,\texttt{RT},,,restrictiveness estimator\cite{Latva2001},RestrictivenessEstimatorCardoso,Graph,N,111,Cardoso2006b,,,,,Was-never-validated,,Calculated,,No,Graph based
201,Gruhn2006comp,2006,,\texttt{CW},\NoSymbolMetric,,cognitive weight,CognitiveWeight,Graph,N,201,Gruhn2006comp,,,,,Was-never-validated,,Weighted,Weights,Yes,Assign weight to elements and sum them
201,Gruhn2006comp,2006,,\texttt{F}_i\texttt{F}_o,\NoSymbolMetric,,fan-in / fan-out,FanInFanOut,Graph,N,201,Gruhn2006comp,,,,,Was-never-validated,,Calculated,,No,Execution is not by calls
201,Gruhn2006comp,2006,,\texttt{MaxND},\NoSymbolMetric,,maximum nesting depth,MaximumNestingDepth,EPC,N,201,Gruhn2006comp,,,,,Was-never-validated,,Counter,,No,graph based
201,Gruhn2006comp,2006,,\texttt{MeanND},\NoSymbolMetric,,mean nesting depth,MeanNestingDepth,EPC,N,201,Gruhn2006comp,,,,,Was-never-validated,,Average,,No,graph based
201,Gruhn2006comp,2006,Dup,\texttt{NA},\NoSymbolMetric,,number of activities\cite{Garcia2003inte},NumberOfActivitiesGruhn,SPEM,N,201,Gruhn2006comp,,,,,Was-never-validated,,Counter,Task count,Yes,Count tasks
201,Gruhn2006comp,2006,,\texttt{NH},\NoSymbolMetric,,number of handles,NumberOfHandles,Workflow-Nets,N,201,Gruhn2006comp,,,,,Was-never-validated,,Counter,,No,uses arcs
205,Gruhn2006adop,2006,Dup,\texttt{CC}_{\texttt{YAWL}},\NoSymbolMetric,second set of ,cognitive complexity for YAWL\cite{Gruhn2006comp},CognitiveComplexityForYAWL,YAWL,N,205,Gruhn2006adop,,,,,Was-never-validated,,Weighted,Weights,Yes,Assign weight to elements and sum them
1479,Cardoso2006,2006,D,\texttt{K},,,Kolmogorov complexity,KolmogorovComplexity,Graph,N,1479,Cardoso2006,,,,,Was-never-validated,,,,,
1479,Cardoso2006,2006,D,\texttt{H},,,shannon's entropy,ShannonEntropy,Graph,N,1479,Cardoso2006,,,,,Was-never-validated,,,,,
1584,Mendling2006a,2006,,\texttt{Cycle},,,cycle,Cycle,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{JC},,,join complexity,JoinComplexity,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{JSR},,,join-split-ratio,JoinSplitRatio,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Ratio,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{AND}_j,,,number of AND joins,NumberOfANDJoins,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{AND}_s,,,number of AND splits,NumberOfANDSplits,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{A},,,number of arcs,NumberOfArcs,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,uses arcs
1584,Mendling2006a,2006,Dup,\texttt{E}_{end},,,number of end events\cite{Rolon2006},NumberOfEndEventsMendling,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{F},,,number of functions,NumberOfFunctions,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{E}_{int},,,number of internal events,NumberOfInternalEvents,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{OR}_{j},,,number of OR joins,NumberOfORJoins,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{OR}_{s},,,number of OR splits,NumberOfORSplits,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,Dup,\texttt{E}_{start},,,number of start events\cite{Rolon2006},NumberOfStartEventsMendling,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{XOR}_{j},,,number of XOR joins,NumberOfXORJoins,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,,\texttt{XOR}_{s},,,number of XOR splits,NumberOfXORSplits,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Counter,,No,Concept does not exist in {\glCMMN}
1584,Mendling2006a,2006,Dup,\texttt{SC},,,split complexity\cite{Cardoso2005cont},SplitComplexity,YAWL,S,1584,Mendling2006a,,,,,Logistic regression,,Calculated,,No,Concept does not exist in {\glCMMN}
1588,Mendling2006,2006,,\texttt{d}_e,,second set of ,density of an EPC,DensityOfAnEPC,EPC,S,1588,Mendling2006,,,,, logistic regression (logit),,Calculated,,No,graph based so require arcs
1588,Mendling2006,2006,,\texttt{d}_w,,second set of ,density of a workflow-net,DensityOfAWorkflownet,Workflow-Nets,S,1588,Mendling2006,,,,,Was-never-validated,,Calculated,,No,graph based so require arcs
1588,Mendling2006,2006,,\texttt{d}_y,,second set of ,density of a YWAL model,DensityOfAYWALModel,YAWL,S,1588,Mendling2006,,,,,Was-never-validated,,Calculated,,No,graph based so require arcs
19518,Rolon2006,2006,,\texttt{CLA},,,connectivity level between activities,ConnectivityLevelBetweenActivities,BPMN,N,19518,Rolon2006,,,,,none,,Ratio,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{CLP},,,connectivity level between pools,ConnectivityLevelBetweenPools,BPMN,N,19518,Rolon2006,,,,,none,,Ratio,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{TNA},,,total number of activities\cite{Garcia2003inte},NumberOfActivitiesRolon,BPMN,N,19518,Rolon2006,,,,,none,,Counter,Task count,Yes,Count tasks
