id.orig,Original Author,Year,Delete metric,Metric.obsolete,Name.obsolete,Label,Notation,Category,by.id,by.Author,Team,Experiment,Subjects,Models,Concept,Statistics test used,Result,Comments,,,
107,Lassen2009,2009,,$\delta_S$,Aggregated depth fraction,AggregatedDepthFraction,Workflow-Nets,M,107,Lassen2009,Lassen,1,0,262,Understandability,Correlation,No,,,,
107,Lassen2009,2009,,ECaM,extended Cardoso,ExtendedCardoso,Workflow-Nets,M,107,Lassen2009,Lassen,1,0,262,Understandability,Correlation ,No,,,,
107,Lassen2009,2009,,ECyM,extended cyclomatic,ExtendedCyclomatic,Workflow-Nets,M,107,Lassen2009,Lassen,1,0,262,Understandability,Correlation ,No,,,,
107,Lassen2009,2009,,SM,structuredness,Structuredness,Workflow-Nets,M,107,Lassen2009,Lassen,1,0,262,Understandability,Correlation,intuitive,,,,
117,Garcia2004,2004,,NDWP,number of dependences,NumberOfDependences,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,NDWPIn,number of input dependences,NumberOfInputDependences,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,NDWPOut,number of output dependences,NumberOfOutputDependences,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,RDWPIn,ratio between input dependencies and number of dependencies,RatioBetweenInDependenciesXDependencies,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,RDWPOut,ratio between output dependencies and the number of dependencies,RatioBetweenOutDependenciesXDependencies,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,CA,activity coupling,ActivityCoupling,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NA,number of activities,NumberOfActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NDRA,number of precedence dependences between activities,NumberOfPrecedenceDependencesBActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
