SetId,iv.set,iv.order,iv.A.model,iv.A.mode,iv.A.name,iv.B.model,iv.B.mode,iv.B.name,iv.C.obs,iv.C.calc,iv.C.CC,iv.C.order3.CC,iv.C.order15.CC,iv.C.CL,iv.C.order3.CL,iv.C.order15.CL,iv.C.CS,iv.C.order3.CS,iv.C.order15.CS,iv.C.CAS,iv.C.order3.CAS,iv.C.order15.CAS
1,1,1,1,a,m1a,2,a,m2a,m1vs2,m2vs1,4.05,A>B,m2>m1,1,A>B,m2>m1,8.56,A<B,m2<m1,1.44,A>B,m2>m1
2,2,1,1,a,m1a,3,a,m3a,m1vs3,m3vs1,3.57,A>B,m3>m1,1,A>B,m3>m1,5.89,A<B,m3<m1,4.11,A>B,m3>m1
3,3,1,1,a,m1a,4,a,m4a,m1vs4,m4vs1,2.71,A>B,m4>m1,2.33,A>B,m4>m1,6.78,A<B,m4<m1,3.22,A>B,m4>m1
4,4,1,1,a,m1a,5,a,m5a,m1vs5,m5vs1,2.14,A>B,m5>m1,2.33,A>B,m5>m1,4.56,A=B,m5=m1,5.44,A=B,m5=m1
5,5,1,1,a,m1a,6,a,m6a,m1vs6,m6vs1,1,A>B,m6>m1,2.33,A>B,m6>m1,8.11,A<B,m6<m1,1.89,A>B,m6>m1
6,1,2,2,a,m2a,1,b,m1b,m2vs1,m2vs1,4.05,A>B,m2>m1,1,A>B,m2>m1,8.56,A<B,m2<m1,1.44,A>B,m2>m1
7,6,1,2,a,m2a,3,a,m3a,m2vs3,m3vs2,4.52,A=B,m3=m2,5,A=B,m3=m2,2.33,A>B,m3>m2,7.67,A<B,m3<m2
8,7,1,2,a,m2a,4,a,m4a,m2vs4,m4vs2,3.67,A>B,m4>m2,6.33,A<B,m4<m2,3.22,A>B,m4>m2,6.78,A<B,m4<m2
9,8,1,2,a,m2a,5,a,m5a,m2vs5,m5vs2,3.1,A>B,m5>m2,6.33,A<B,m5<m2,1,A>B,m5>m2,9,A<B,m5<m2
10,9,1,2,a,m2a,6,a,m6a,m2vs6,m6vs2,1.95,A>B,m6>m2,6.33,A<B,m6<m2,4.56,A=B,m6=m2,5.44,A=B,m6=m2
11,2,2,3,a,m3a,1,b,m1b,m3vs1,m3vs1,3.57,A>B,m3>m1,1,A>B,m3>m1,5.89,A<B,m3<m1,4.11,A>B,m3>m1
